_id,temp_c,temp_f,humidity,validity
65bbe1ae2b76075204920f28,23.4,74.12,94,1
65bbe1ba2b76075204920f29,23.4,74.12,94,1
65bbe1c62b76075204920f2a,23.4,74.12,94,1
65bbe1d12b76075204920f2b,23.4,74.12,94,1
65bbe1dc2b76075204920f2c,23.4,74.12,94,1
65bbe1e82b76075204920f2d,23.4,74.12,94,1
65bbe1f42b76075204920f2e,23.4,74.12,94,1
65bbe1ff2b76075204920f2f,23.4,74.12,94,1
65bbe20a2b76075204920f30,23.4,74.12,94,1
65bbe2362b76075204920f31,23.4,74.12,94,1
65bbe2422b76075204920f32,23.4,74.12,94,1
65bbe24d2b76075204920f33,23.4,74.12,94,1
65bbe2592b76075204920f34,23.4,74.12,94,1
65bbe2672b76075204920f35,23.4,74.12,94,1
65bbe2752b76075204920f36,23.4,74.12,94,1
65bbe2802b76075204920f37,23.4,74.12,94,1
65bbe28c2b76075204920f38,23.4,74.12,94,1
65bbe2972b76075204920f39,23.4,74.12,94,1
65bbe2a32b76075204920f3a,23.4,74.12,94,1
65bbe2be2b76075204920f3b,23.4,74.12,94,1
65bbe2cc2b76075204920f3c,23.4,74.12,94,1
65bbe2f782d178dc83def3ce,23.4,74.12,94,1
65bbe30382d178dc83def3cf,23.4,74.12,94,1
65bbe30e82d178dc83def3d0,23.4,74.12,94,1
65bbe31a82d178dc83def3d1,23.4,74.12,94,1
65bbe32582d178dc83def3d2,23.4,74.12,94,1
65bbe33282d178dc83def3d3,23.4,74.12,94,1
65bbe33e82d178dc83def3d4,23.4,74.12,94,1
65bbe34982d178dc83def3d5,23.4,74.12,94,1
65bbe36782d178dc83def3d6,23.4,74.12,94,1
65bbe37382d178dc83def3d7,23.4,74.12,94,1
65bbe37f82d178dc83def3d8,23.4,74.12,94,1
65bbe38a82d178dc83def3d9,23.4,74.12,94,1
65bbe39682d178dc83def3da,23.4,74.12,94,1
65bbe3a182d178dc83def3db,23.4,74.12,94,1
65bbe3ad82d178dc83def3dc,23.4,74.12,94,1
65bbe3b882d178dc83def3dd,23.4,74.12,94,1
65bbe3c482d178dc83def3de,23.4,74.12,94,1
65bbe3cf82d178dc83def3df,23.4,74.12,94,1
65bbe3dc82d178dc83def3e0,23.4,74.12,94,1
65bbe3e782d178dc83def3e1,23.4,74.12,94,1
65bbe3f382d178dc83def3e2,23.4,74.12,94,1
